SHIP_TO_CITY_CD,RMB_DOLLARS,SHIP_TO_CITY_CD_ENG,PROVINCE,PER_CAPITA_USD,normalized_sales,cluster
喀什地区,221207.13,Kashgar Prefecture,Xinjiang,4269,-0.36485478903530444,2
嘉兴,13464994.24,Jiaxing,Zhejiang,15695,0.6816733039603097,0
嘉峪关,203291.18,Jiayu Pass,Jiayu Pass,,-0.3662705128635399,2
四平,950384.1900000001,"Siping, Jilin",Jilin,6051,-0.3072349955638622,2
固原,38668.14,Guyuan,Guyuan,2861,-0.37927907564723606,2
图木舒克,15838.94,Tumxuk,Tumxuk,,-0.38108304598760606,2
塔城地区,120782.31,Tacheng Prefecture,Xinjiang,7842,-0.37279038891252325,2
大兴安岭地区,203649.58000000002,Daxing'anling Prefecture,Heilongjiang,4466,-0.3662421919863305,2
大同,2560143.61,Datong (disambiguation),Datong (disambiguation),,-0.18003131567970815,2
大庆,1891482.54,Daqing,Heilongjiang,17247,-0.23286911718129893,2
大理白族自治州,775564.66,Dali Bai Autonomous Prefecture,Yunnan,7567,-0.32104928809436856,2
大连,15322024.36,Dalian,Liaoning,17141,0.8284163899052344,0
天水,234923.03,Tianshui,Gansu,2688,-0.3637709544378817,2
天津,36401566.230000004,Tianjin,Tianjin,17420,2.4941282116978987,0
天门,357746.94,Tianmen,Hubei,5470,-0.35406537164355323,2
太原,13571258.56,Taiyuan,Shanxi,12570,0.6900703429069042,0
威海,4147108.41,Weihai,Shandong,19460,-0.05462887361378715,2
娄底,846579.6900000001,Loudi,Hunan,6423,-0.3154376587845158,2
孝感,1277996.6,Xiaogan,Hubei,4804,-0.28134696309767154,2
宁德,2489272.56,Ningde,Fujian,12849,-0.18563156764608824,2
宁波,27049039.740000002,Ningbo,Zhejiang,24369,1.755088718615118,0
安庆,1601622.81,Anqing,Anhui,9874,-0.25577392137013066,2
安康,210461.09,Ankang,Shaanxi,4582,-0.3657039443905701,2
安阳,1617302.78,Anyang,Henan,5962,-0.2545348853628289,2
安顺,286381.46,Anshun,Guizhou,5678,-0.359704693619193,2
定安县,56100.01,Ding'an County,Hainan,,-0.3779016039681064,2
定西,150555.77000000002,Dingxi,Gansu,1764,-0.370437681030942,2
宜宾,925072.66,Yibin,Sichuan,5469,-0.3092351203772322,2
宜昌,3030980.88,Yichang,Hubei,13223,-0.14282561113374004,2
宜春,1255733.76,"Yichun, Jiangxi",Jiangxi,4730,-0.283106179498264,2
宝鸡,1423021.4000000001,Baoji,Shaanxi,,-0.26988705921062767,2
宣城,1782624.05,Xuancheng,Anhui,11430,-0.24147114823177257,2
宿州,1976987.04,"Suzhou, Anhui",Anhui,6310,-0.2261125255369061,2
宿迁,4737778.9,Suqian,Jiangsu,11561,-0.007953911508594777,2
屯昌县,37606.2,Tunchang County,Hainan,,-0.3793629904696237,2
山南,16635.4,"Shannan, Tibet","Shannan, Tibet",7171,-0.3810201094757138,2
山南市,34863.72,"Shannan, Tibet","Shannan, Tibet",7171,-0.37957970207489494,2
岳阳,1235091.55,Yueyang,Hunan,13962,-0.2847373332224282,2
崇左,334108.87,Chongzuo,Chongzuo,7337,-0.3559332591377971,2
巴中,238544.29,Bazhong,Sichuan,2421,-0.36348480136923417,2
巴彦淖尔,436500.08,Bayannuur,Bayannuur,,-0.34784227452359234,2
巴音郭楞蒙古自治州,371463.77,Bayingolin Mongol Autonomous Prefecture,Bayingolin Mongol Autonomous Prefecture,14889,-0.35298146355724724,2
常州,27311490.56,Changzhou,Jiangsu,,1.775827662383879,0
常德,942089.0700000001,Changde,Hunan,12042,-0.3078904784738989,2
平凉,90605.31,Pingliang,Gansu,2664,-0.37517498464786864,2
平顶山,2186824.65,Mesa,Mesa,,-0.2095310936543109,2
广元,334682.34,Guangyuan,Sichuan,3735,-0.355887943363653,2
广安,441051.37,Guang'an,Sichuan,4985,-0.34748263020095194,2
广州,46937516.55,Guangzhou,Guangdong,23436,3.3266822164327365,1
庆阳,369244.29000000004,"Qingyang, Gansu",Gansu,4394,-0.3531568475431532,2
廊坊,4660139.5600000005,Langfang,Hebei,,-0.014088995813165566,2
延安,682848.76,Yan'an,Shaanxi,8655,-0.3283757267641738,2
延边朝鲜族自治州,1217918.72,Yanbian Korean Autonomous Prefecture,Jilin,6441,-0.2860943354818249,2
开封,1155947.3900000001,Kaifeng,Henan,5814,-0.2909913288619383,2
张家口,1469542.6400000001,Zhangjiakou,Hebei,,-0.2662109366501684,2
张家界,145155.57,Zhangjiajie,Hunan,4724,-0.3708644064804569,2
张掖,82380.54000000001,Zhangye,Gansu,4930,-0.37582490847946876,2
徐州,13758595.9,Xuzhou,Jiangsu,11683,0.7048737965979588,0
德宏傣族景颇族自治州,436112.99,Dehong Dai and Jingpo Autonomous Prefecture,Yunnan,6568,-0.347872862493344,2
德州,1560526.7,,,,-0.2590213485048785,2
德阳,1628076.22,Deyang,Sichuan,7338,-0.2536835648512142,2
忻州,816573.55,Xinzhou,Shanxi,5396,-0.31780875311059786,2
怀化,822069.09,Huaihua,Hunan,5333,-0.31737449386523153,2
怒江傈僳族自治州,31059.300000000003,Nujiang Lisu Autonomous Prefecture,Yunnan,6702,-0.3798803285025539,2
恩施土家族苗族自治州,494499.14,Enshi Tujia and Miao Autonomous Prefecture,Hubei,3242,-0.343259171129284,2
惠州,6575755.94,Huizhou,Guangdong,12728,0.1372835942489954,2
成都,50125640.550000004,Chengdu,Sichuan,15250,3.578608746377807,1
扬州,12667117.15,Yangzhou,Jiangsu,18311,0.618624813184427,0
承德,1549952.3800000001,Chengde,Hebei,,-0.25985693449341873,2
抚州,1545287.76,"Fuzhou, Jiangxi",Jiangxi,4453,-0.2602255341871924,2
抚顺,1428826.8,Fushun,Liaoning,9401,-0.26942831473364276,2
拉萨,236077.02000000002,Lhasa (city),Lhasa (city),13100,-0.3636797657964452,2
揭阳,5440895.600000001,Jieyang,Guangdong,6273,0.04760658437469865,2
攀枝花,479043.41000000003,Panzhihua,Sichuan,12055,-0.34448048762345673,2
文山壮族苗族自治州,162321.24,Wenshan Zhuang and Miao Autonomous Prefecture,Yunnan,6010,-0.369507970006442,2
文昌,147046.93,,,,-0.3707149506369336,2
新乡,2792189.88,,,,-0.16169494871662993,2
新余,843562.9,Xinyu,Jiangxi,13062,-0.3156760464495731,2
无锡,30159893.650000002,Wuxi,Jiangsu,26831,2.000909342503133,0
日喀则,41146.020000000004,Shigatse,Shigatse,3608,-0.3790832728145921,2
日照,3965766.93,Sunlight,Sunlight,,-0.06895853262062106,2
昆明,10072707.17,Kunming,Yunnan,13008,0.4136137460125544,0
昆玉,7078.76,,,,-0.381775278080553,2
昌吉回族自治州,295051.37,Changji Hui Autonomous Prefecture,Changji Hui Autonomous Prefecture,11974,-0.35901959468915257,2
昌江黎族自治县,24599.120000000003,Changjiang Li Autonomous County,Hainan,,-0.3803908138946592,2
昌都,69019.48000000001,Chamdo,Chamdo,5668,-0.3768807035119668,2
昭通,306717.75,Zhaotong,Yunnan,4563,-0.35809771378664673,2
晋中,1906583.23,Jinzhong,Shanxi,6954,-0.23167585605611177,2
晋城,1394354.5,Jincheng,Shanxi,10420,-0.27215232638382497,2
普洱,302177.88,Puer,Puer,,-0.35845645569740736,2
景德镇,1595158.6,Jingdezhen,Jiangxi,7581,-0.25628472521406404,2
曲靖,1147047.94,Qujing,Yunnan,,-0.29169456611272265,2
朔州,685283.26,Shuozhou,Shanxi,11064,-0.3281833518323483,2
朝阳,874947.92,,,,-0.3131959926057274,2
本溪,561645.2000000001,Benxi,Liaoning,10862,-0.3379532690077594,2
来宾,148144.27,Laibin,Laibin,6214,-0.3706282384957591,2
杭州,73908149.18,Hangzhou,Zhejiang,27223,5.4579098251766816,1
松原,588428.41,松原,松原,,-0.3358368515923483,2
林芝,89501.78,Nyingchi,Nyingchi,7873,-0.3752621859247293,2
果洛藏族自治州,16767.260000000002,Golog Tibetan Autonomous Prefecture,Qinghai,2928,-0.3810096898583343,2
枣庄,2566816.2,Zaozhuang,Shandong,9252,-0.17950404558467853,2
