SHIP_TO_CITY_CD,RMB_DOLLARS,SHIP_TO_CITY_CD_ENG,PROVINCE,PER_CAPITA_USD,normalized_sales,cluster
鸡西,1059309.9000000001,Jixi,Heilongjiang,4531,-0.2986276527685057,2
鹤壁,853627.49,Hebi,Henan,7217,-0.3148807394809546,2
鹤岗,461807.10000000003,Hegang,Heilongjiang,4011,-0.3458425060917966,2
鹰潭,244747.81,Yingtan,Jiangxi,8921,-0.3629945973285367,2
黄冈,1221446.17,Huanggang,Hubei,4065,-0.2858155953079625,2
黄南藏族自治州,105298.24,Huangnan Tibetan Autonomous Prefecture,Qinghai,4364,-0.3740139448421315,2
黄山,1432103.66,Huangshan,Huangshan,,-0.26916937625793863,2
黄石,1331840.04,Huangshi (disambiguation),Huangshi (disambiguation),,-0.27709223806203753,2
黑河,782926.66,Black River,Black River,,-0.3204675406110663,2
黔东南苗族侗族自治州,493650.45,Qiandongnan Miao and Dong Autonomous Prefecture,Guizhou,4599,-0.34332623487169145,2
黔南布依族苗族自治州,593557.61,Qiannan Buyei and Miao Autonomous Prefecture,Guizhou,6619,-0.33543154064541075,2
黔西南布依族苗族自治州,236387.62,Qianxinan Buyei and Miao Autonomous Prefecture,Guizhou,,-0.36365522208980106,2
齐齐哈尔,3125773.96,Qiqihar,Heilongjiang,3699,-0.1353350330673896,2
龙岩,2170428.31,Longyan,Fujian,16575,-0.21082673743730038,2
